job_id,title,skills,level,mode,domain
308,Job_308,"['python', 'deep learning', 'data analysis', 'git']",intermediate,remote,DevOps
309,Job_309,"['python', 'computer vision', 'data analysis', 'linux', 'nlp', 'git']",advanced,hybrid,Data
310,Job_310,"['python', 'data analysis', 'linux', 'machine learning', 'computer vision']",beginner,hybrid,Web
311,Job_311,"['deep learning', 'nlp', 'data analysis', 'fastapi']",intermediate,on-site,DevOps
312,Job_312,"['docker', 'linux', 'git']",advanced,remote,Web
313,Job_313,"['computer vision', 'sql', 'python', 'nlp', 'deep learning']",intermediate,on-site,DevOps
314,Job_314,"['computer vision', 'python', 'machine learning']",beginner,on-site,DevOps
315,Job_315,"['nlp', 'sql', 'data analysis', 'python', 'computer vision']",beginner,hybrid,DevOps
316,Job_316,"['python', 'sql', 'fastapi', 'computer vision', 'nlp']",intermediate,remote,Web
317,Job_317,"['linux', 'sql', 'fastapi', 'machine learning']",advanced,remote,DevOps
318,Job_318,"['linux', 'machine learning', 'sql', 'docker', 'python']",beginner,on-site,Web
319,Job_319,"['docker', 'nlp', 'linux']",intermediate,remote,Data
320,Job_320,"['git', 'deep learning', 'docker', 'linux', 'nlp', 'sql']",advanced,hybrid,DevOps
321,Job_321,"['nlp', 'fastapi', 'deep learning']",advanced,remote,AI
322,Job_322,"['machine learning', 'linux', 'computer vision', 'nlp', 'data analysis']",intermediate,remote,AI
323,Job_323,"['fastapi', 'git', 'docker']",intermediate,remote,Web
324,Job_324,"['machine learning', 'linux', 'git']",advanced,hybrid,DevOps
325,Job_325,"['python', 'sql', 'docker']",advanced,remote,Data
326,Job_326,"['python', 'fastapi', 'linux', 'data analysis', 'git', 'computer vision']",advanced,hybrid,Web
327,Job_327,"['computer vision', 'linux', 'machine learning', 'data analysis']",intermediate,on-site,Data
328,Job_328,"['machine learning', 'sql', 'computer vision', 'linux', 'data analysis', 'deep learning']",intermediate,on-site,AI
329,Job_329,"['fastapi', 'deep learning', 'git', 'nlp', 'data analysis']",beginner,remote,Data
330,Job_330,"['linux', 'docker', 'computer vision']",intermediate,on-site,Data
331,Job_331,"['computer vision', 'nlp', 'machine learning', 'fastapi', 'data analysis', 'git']",advanced,remote,DevOps
332,Job_332,"['machine learning', 'linux', 'docker', 'fastapi', 'data analysis']",advanced,hybrid,DevOps
333,Job_333,"['docker', 'linux', 'fastapi', 'nlp']",intermediate,remote,Web
334,Job_334,"['computer vision', 'data analysis', 'python', 'git']",advanced,remote,DevOps
335,Job_335,"['sql', 'linux', 'git', 'machine learning', 'docker']",intermediate,remote,Data
336,Job_336,"['linux', 'computer vision', 'sql', 'git']",advanced,on-site,DevOps
337,Job_337,"['data analysis', 'python', 'docker', 'sql', 'nlp', 'git']",advanced,hybrid,Data
338,Job_338,"['computer vision', 'nlp', 'python', 'linux']",intermediate,on-site,AI
339,Job_339,"['sql', 'fastapi', 'deep learning']",advanced,hybrid,Web
340,Job_340,"['docker', 'linux', 'git', 'machine learning', 'data analysis', 'python']",intermediate,remote,Data
341,Job_341,"['sql', 'computer vision', 'machine learning', 'docker', 'data analysis', 'linux']",intermediate,remote,DevOps
342,Job_342,"['git', 'sql', 'computer vision', 'data analysis', 'machine learning']",beginner,on-site,AI
343,Job_343,"['python', 'docker', 'sql']",advanced,remote,Web
344,Job_344,"['data analysis', 'machine learning', 'docker', 'linux']",intermediate,remote,DevOps
345,Job_345,"['machine learning', 'linux', 'nlp', 'python']",advanced,hybrid,Web
346,Job_346,"['nlp', 'linux', 'computer vision', 'python', 'docker', 'sql']",beginner,on-site,AI
347,Job_347,"['data analysis', 'machine learning', 'docker']",intermediate,remote,DevOps
348,Job_348,"['fastapi', 'git', 'data analysis']",advanced,on-site,DevOps
349,Job_349,"['nlp', 'sql', 'docker', 'data analysis', 'linux', 'deep learning']",advanced,remote,Data
350,Job_350,"['computer vision', 'machine learning', 'docker']",beginner,remote,Data
351,Job_351,"['machine learning', 'docker', 'computer vision']",advanced,on-site,DevOps
352,Job_352,"['nlp', 'linux', 'computer vision', 'machine learning']",intermediate,hybrid,Web
353,Job_353,"['git', 'fastapi', 'machine learning', 'data analysis']",intermediate,on-site,AI
354,Job_354,"['python', 'git', 'machine learning', 'deep learning', 'linux']",intermediate,hybrid,DevOps
355,Job_355,"['computer vision', 'git', 'linux', 'nlp', 'deep learning', 'sql']",beginner,hybrid,AI
356,Job_356,"['fastapi', 'python', 'computer vision', 'deep learning']",advanced,on-site,Web
357,Job_357,"['nlp', 'git', 'data analysis', 'sql', 'fastapi', 'python']",intermediate,hybrid,Data
358,Job_358,"['git', 'data analysis', 'deep learning']",intermediate,remote,Web
359,Job_359,"['python', 'git', 'fastapi', 'docker', 'linux']",beginner,on-site,AI
360,Job_360,"['deep learning', 'nlp', 'docker', 'linux']",beginner,hybrid,Web
361,Job_361,"['deep learning', 'python', 'docker', 'fastapi']",advanced,hybrid,Web
362,Job_362,"['fastapi', 'computer vision', 'nlp', 'sql', 'git']",intermediate,remote,Data
363,Job_363,"['machine learning', 'deep learning', 'computer vision', 'docker']",beginner,hybrid,DevOps
364,Job_364,"['machine learning', 'nlp', 'fastapi', 'linux', 'deep learning', 'git']",beginner,hybrid,AI
365,Job_365,"['data analysis', 'fastapi', 'docker', 'git', 'deep learning', 'machine learning']",advanced,remote,AI
366,Job_366,"['computer vision', 'docker', 'sql', 'linux', 'data analysis', 'deep learning']",beginner,on-site,Data
367,Job_367,"['fastapi', 'docker', 'data analysis', 'machine learning', 'computer vision']",intermediate,on-site,AI
368,Job_368,"['sql', 'git', 'python']",beginner,remote,DevOps
369,Job_369,"['python', 'linux', 'deep learning', 'machine learning', 'docker', 'git']",beginner,on-site,AI
370,Job_370,"['fastapi', 'sql', 'docker', 'machine learning', 'python']",intermediate,hybrid,Data
371,Job_371,"['linux', 'sql', 'nlp', 'python']",beginner,on-site,AI
372,Job_372,"['nlp', 'deep learning', 'data analysis', 'git']",beginner,remote,Data
373,Job_373,"['linux', 'machine learning', 'git']",beginner,remote,DevOps
374,Job_374,"['sql', 'computer vision', 'docker']",intermediate,on-site,Web
375,Job_375,"['machine learning', 'computer vision', 'sql', 'python', 'fastapi', 'docker']",beginner,on-site,Data
376,Job_376,"['computer vision', 'machine learning', 'linux', 'git']",beginner,remote,AI
377,Job_377,"['sql', 'nlp', 'linux', 'docker']",intermediate,on-site,Web
378,Job_378,"['fastapi', 'sql', 'deep learning', 'computer vision']",advanced,remote,Data
379,Job_379,"['data analysis', 'nlp', 'computer vision', 'deep learning']",advanced,on-site,Data
380,Job_380,"['deep learning', 'git', 'linux']",beginner,remote,DevOps
381,Job_381,"['data analysis', 'python', 'docker']",intermediate,remote,DevOps
382,Job_382,"['docker', 'data analysis', 'machine learning', 'git', 'linux', 'python']",beginner,hybrid,AI
383,Job_383,"['fastapi', 'deep learning', 'python']",beginner,on-site,Data
384,Job_384,"['linux', 'computer vision', 'sql', 'machine learning', 'git', 'python']",intermediate,remote,Web
385,Job_385,"['data analysis', 'docker', 'linux', 'sql']",intermediate,hybrid,DevOps
386,Job_386,"['python', 'deep learning', 'sql', 'linux']",beginner,on-site,AI
387,Job_387,"['computer vision', 'machine learning', 'sql', 'python', 'docker']",beginner,hybrid,AI
388,Job_388,"['git', 'docker', 'data analysis', 'fastapi']",beginner,on-site,Web
389,Job_389,"['sql', 'python', 'docker', 'linux', 'machine learning']",advanced,remote,Data
390,Job_390,"['git', 'computer vision', 'data analysis']",intermediate,remote,DevOps
391,Job_391,"['docker', 'machine learning', 'fastapi', 'sql']",advanced,hybrid,AI
392,Job_392,"['data analysis', 'python', 'nlp', 'computer vision']",beginner,remote,DevOps
393,Job_393,"['linux', 'machine learning', 'nlp', 'python', 'fastapi']",advanced,hybrid,DevOps
394,Job_394,"['docker', 'deep learning', 'linux', 'computer vision']",intermediate,remote,Data
395,Job_395,"['data analysis', 'python', 'machine learning']",beginner,hybrid,AI
396,Job_396,"['sql', 'git', 'fastapi', 'data analysis', 'machine learning', 'python']",advanced,on-site,AI
397,Job_397,"['deep learning', 'fastapi', 'nlp', 'computer vision', 'git']",intermediate,hybrid,DevOps
398,Job_398,"['data analysis', 'deep learning', 'machine learning', 'python']",intermediate,remote,Web
399,Job_399,"['computer vision', 'python', 'docker', 'nlp', 'linux']",advanced,on-site,Data
